"location","price","property_type","postal_code","available","till_move_in_day","minimum_term","maximum_term","furnishings","occupation","gender","min_age","max_age","property_id"
Manchester,500,Flat share,M22,"20/05/2023",34,1,2,Furnished,Don't mind,Female,"21","30",1304
Manchester,650,House share,M15,"01/09/2023",138,0,12,Furnished,Don't mind,No preference,"18","28",1305
Manchester,500,House share,M14,"30/04/2023",14,0,0,Furnished,Don't mind,No preference,"20","40",1306
Manchester,750,Flat share,M5,"16/04/2023",0,2,0,Furnished,Professional,No preference,"22","60",1309
Manchester,330,House share,M40,"16/04/2023",0,6,0,Furnished,Don't mind,Female,"20","35",1313
Manchester,200,House share,M7,"16/04/2023",0,6,12,Furnished,Don't mind,No preference,"20","34",1316
Manchester,400,House share,M5,"29/07/2023",104,6,0,Furnished,Don't mind,No preference,"25","45",1311
Manchester,525,House share,M14,"09/05/2023",23,5,0,Furnished,Don't mind,No preference,,"25",1312
Manchester,650,House share,M29,"01/05/2023",15,6,0,Furnished,Don't mind,No preference,,,1314
Manchester,540,Flat share,M1,"12/06/2023",57,2,3,Furnished,Student,No preference,,,1315
Manchester,450,House share,M6,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"25","35",1317
Manchester,900,House share,M7,"16/04/2023",0,3,0,Furnished,Don't mind,No preference,,,1319
Manchester,500,Flat share,M7,"19/04/2023",3,2,4,Furnished,Don't mind,No preference,"19",,1322
Manchester,700,Flat share,M15,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"19","60",1320
Manchester,450,House share,M20,"16/04/2023",0,7,7,Furnished,Professional,Female,"21","27",1323
Manchester,450,House share,M27,"17/04/2023",1,6,0,Furnished,Professional,Female,"25","40",1328
Manchester,550,House share,M5,"30/06/2023",75,4,12,Furnished,Don't mind,No preference,"20","45",1329
Manchester,600,House share,M13,"20/04/2023",4,6,0,Furnished,Professional,No preference,"18","99",1330
Manchester,150,House share,M14,"08/07/2023",83,12,12,Furnished,Student,Male,"20","24",1331
Manchester,430,House share,M21,"22/04/2023",6,6,0,Furnished,Professional,No preference,"20","31",1332
Manchester,750,Flat share,M6,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"20","65",1324
Manchester,650,House share,M21,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1325
Manchester,495,House share,M35,"01/05/2023",15,6,0,Furnished,Professional,No preference,"20","35",1335
Manchester,650,Flat share,M8,"16/04/2023",0,1,2,Furnished,Professional,No preference,"20","37",1474
Manchester,525,House share,M20,"01/05/2023",15,0,0,Furnished,Don't mind,Female,"26","34",1337
Manchester,650,Flat share,M8,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1475
Manchester,550,House share,M16,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","60",1478
Manchester,600,House share,M19,"16/04/2023",0,3,0,Furnished,Professional,No preference,,,1480
Manchester,560,House share,M20,"16/04/2023",0,12,0,Furnished,Don't mind,No preference,"22","32",1482
Manchester,605,Flat share,M5,"20/06/2023",65,0,0,Furnished,Professional,No preference,"24","30",1342
Manchester,650,Flat share,M30,"01/05/2023",15,12,0,Furnished,Don't mind,No preference,"23","65",1343
Manchester,625,House share,M30,"16/04/2023",0,6,0,Furnished,Professional,No preference,"18","45",1346
Manchester,500,Shared property,M30,"16/04/2023",0,6,0,Furnished,Professional,No preference,"22","40",1349
Manchester,520,Flat share,M30,"09/05/2023",23,6,0,Furnished,Professional,No preference,"21","50",1347
Manchester,525,House share,M24,"30/04/2023",14,6,0,Furnished,Professional,No preference,"21","50",1348
Manchester,620,Flat share,M16,"01/05/2023",15,1,2,Furnished,Don't mind,No preference,,,1353
Manchester,675,House share,M6,"01/05/2023",15,3,0,Furnished,Don't mind,No preference,"22","39",1354
Manchester,500,House share,M13,"01/07/2023",76,12,0,Furnished,Don't mind,No preference,"20","30",1357
Manchester,450,House share,M28,"20/04/2023",4,6,0,Furnished,Professional,No preference,"18",,1358
Manchester,520,House share,M44,"16/04/2023",0,6,0,Furnished,Professional,No preference,"19","40",1350
Manchester,550,House share,M30,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"21","41",1351
Manchester,550,Shared property,M26,"16/04/2023",0,6,12,Furnished,Don't mind,No preference,,,1352
